frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
54,0.5112682,0.42441443,0.008374772,0.4962244,0.4955726,0.009452554,0.6067471,0.5191941,0.04988915,0.4656804,0.6702864,0.01521444,0.60358363,0.46957272,0.014897341,0.5327002,0.5157092,0.011836612,0.59919214,0.5194925,0.063052855,0.4488896,0.79820305,0.005548199
55,0.511067,0.42433694,0.00821407,0.49608362,0.49519065,0.009375998,0.6065856,0.5192371,0.04948146,0.46537173,0.68604946,0.013910812,0.60414875,0.46951345,0.014645326,0.5330753,0.5151037,0.011928683,0.5993969,0.51949793,0.063354194,0.44904593,0.79833025,0.0054675215
56,0.5110756,0.42427874,0.0079883505,0.49613777,0.49481174,0.009228272,0.6064536,0.5194487,0.049044147,0.4651104,0.68629897,0.013893659,0.6045413,0.46939203,0.014485822,0.53394145,0.5000938,0.013244663,0.5994839,0.51969635,0.063009016,0.44916946,0.798286,0.0054701515
57,0.51108354,0.42427072,0.007989427,0.49615973,0.494808,0.009224366,0.60646284,0.5194561,0.04908311,0.4651049,0.6863127,0.013880587,0.60455126,0.46938512,0.014481608,0.53396326,0.50009114,0.013247894,0.59949595,0.51970214,0.063031316,0.44917187,0.79829204,0.0054681594
58,0.5108491,0.42437068,0.007961106,0.4957785,0.49463835,0.009132625,0.60623014,0.519433,0.048146527,0.4649531,0.6864108,0.013836171,0.60431266,0.4694163,0.014412771,0.53375417,0.49973133,0.013197062,0.5992884,0.51961476,0.06243241,0.44941795,0.79828745,0.005493068
59,0.5107279,0.4244745,0.007997473,0.5215696,0.5981028,0.0025004228,0.606149,0.51917946,0.04697844,0.4652051,0.6864808,0.013917997,0.60396373,0.46962282,0.014239383,0.533408,0.4996802,0.012953706,0.59910256,0.5192833,0.061490692,0.44983292,0.79836303,0.0055300696
60,0.51066095,0.4244183,0.008057432,0.52138036,0.59778863,0.0025276395,0.60601187,0.5190592,0.046583775,0.46549475,0.6864614,0.014017407,0.6034867,0.4696189,0.014213382,0.53327715,0.49960798,0.012990833,0.59882814,0.51908153,0.061370578,0.4502071,0.7983805,0.0054915263
61,0.5106221,0.42434707,0.008083767,0.5209944,0.59756917,0.0025436566,0.6057145,0.51904875,0.046013158,0.46564198,0.6865393,0.014233568,0.60288924,0.46960664,0.014172399,0.53303254,0.4995126,0.0132946,0.59828174,0.51904684,0.06086993,0.45008653,0.7983388,0.0054584746
62,0.5106058,0.4244061,0.008122208,0.5209142,0.59765756,0.00258275,0.6054743,0.5191061,0.045786683,0.4656977,0.6864534,0.014391139,0.6023684,0.46970764,0.014104546,0.53279096,0.4995471,0.013306471,0.5977913,0.5190583,0.060631435,0.44984823,0.79827964,0.005485938
63,0.5106131,0.4244032,0.008117515,0.5209177,0.5976512,0.0025825473,0.60546947,0.51910335,0.04575592,0.4657002,0.686464,0.014378734,0.6023685,0.4696979,0.014100429,0.532796,0.49954444,0.013304981,0.5977817,0.5190571,0.060568694,0.4498469,0.7982919,0.0054844655
64,0.5104848,0.42441747,0.008232623,0.5212994,0.59825546,0.0026068094,0.60582167,0.5191856,0.04514094,0.46558452,0.6706131,0.015735433,0.6021874,0.46985057,0.014129977,0.5326933,0.49981645,0.013206746,0.5980574,0.5191783,0.059768967,0.4495163,0.79790854,0.0055055288
65,0.5109007,0.4244797,0.008268273,0.5222109,0.59893084,0.0026478805,0.60620534,0.51928014,0.047042497,0.46515593,0.67046815,0.015453226,0.6026262,0.46978444,0.014181816,0.53298956,0.5001842,0.013012526,0.5985855,0.51923996,0.06218256,0.4491523,0.7976706,0.0054065515
66,0.51064587,0.4247155,0.008410034,0.52480173,0.61356056,0.0021245272,0.60625935,0.5195218,0.046459805,0.464943,0.6705752,0.015595225,0.60288036,0.47004715,0.0139555,0.53268003,0.50026786,0.012844495,0.59902877,0.5195637,0.06174656,0.4493496,0.79745805,0.005384668
67,0.5102618,0.42481342,0.008406997,0.5240958,0.61366314,0.0021088645,0.6167596,0.52048326,0.044971015,0.4651515,0.68601835,0.014177117,0.60333925,0.48176455,0.016053699,0.53236634,0.50002676,0.012886351,0.59905976,0.5194333,0.058908906,0.4495189,0.7974051,0.00544904
68,0.5098494,0.42477202,0.0083985375,0.5234533,0.6136968,0.0020910415,0.6061463,0.51910686,0.041779492,0.4654024,0.6862563,0.013993379,0.6027355,0.48189956,0.015912425,0.53201723,0.4998613,0.012860913,0.59867084,0.5192448,0.056013174,0.4495445,0.797455,0.0055019557
69,0.50986916,0.42476496,0.008401834,0.52348024,0.61371714,0.0020910117,0.6061553,0.5191217,0.041821614,0.4654118,0.6862563,0.01400506,0.6027692,0.48188442,0.015904838,0.5320326,0.49986458,0.012859872,0.5986931,0.5192568,0.056065083,0.4495512,0.7974605,0.0055007036
70,0.5097959,0.424756,0.008358931,0.5233292,0.6137215,0.002098849,0.60600173,0.51912206,0.04169036,0.46546006,0.6863789,0.013938457,0.58840096,0.4814489,0.016683232,0.53207785,0.49988762,0.012883106,0.5985325,0.5193335,0.055905692,0.44954732,0.7975205,0.005488197
71,0.50972515,0.4247179,0.008346727,0.5231908,0.61354506,0.0020979561,0.6058096,0.5191534,0.04181375,0.46538708,0.6863622,0.013920963,0.5884556,0.48157907,0.016665079,0.5322208,0.49985307,0.012932585,0.59839946,0.5194508,0.056039073,0.44952375,0.7975558,0.005469017
72,0.5096717,0.42475688,0.008321742,0.523107,0.6134887,0.0020972765,0.60560566,0.51913166,0.041728783,0.4653659,0.68637604,0.0139722945,0.5884375,0.48169997,0.016589902,0.5321868,0.49997446,0.01286035,0.5981542,0.5194875,0.055939507,0.44951695,0.7975855,0.005458708
73,0.50961584,0.42473978,0.0082768565,0.52014196,0.5990369,0.0025529969,0.6054964,0.51921713,0.041637786,0.46539056,0.6863953,0.013960836,0.58836645,0.48173696,0.016506666,0.53211564,0.49995717,0.012857221,0.59800094,0.51959056,0.05579205,0.4495297,0.797564,0.0054552476
74,0.5096114,0.42475855,0.008252664,0.5201088,0.59903216,0.0025589643,0.6054057,0.5192828,0.04156515,0.4654183,0.6864148,0.01399182,0.5884231,0.48178333,0.016416518,0.5320814,0.500047,0.0127653815,0.5979367,0.51967365,0.055745408,0.44952923,0.79755574,0.005453235
75,0.50959945,0.4247554,0.008256981,0.5201124,0.59903425,0.0025603436,0.60539854,0.5192843,0.041577764,0.4654156,0.6864098,0.013992542,0.58841413,0.48178124,0.016425448,0.53207624,0.5000454,0.012771819,0.59792995,0.51967597,0.055762473,0.44952393,0.7975575,0.005453277
76,0.5096294,0.42478293,0.008287726,0.5230774,0.6134235,0.0021064947,0.60535216,0.5193331,0.041736733,0.4654188,0.6863931,0.014036426,0.58849967,0.4817837,0.01642502,0.5321117,0.500133,0.012719953,0.5979203,0.519699,0.056056537,0.44950825,0.79755235,0.0054572034
77,0.50966334,0.42483374,0.008277118,0.52309877,0.61345476,0.002113717,0.60530466,0.51936156,0.04178525,0.4654388,0.686402,0.014081258,0.588609,0.48179203,0.0163691,0.53214335,0.5002087,0.012656216,0.5979086,0.51971215,0.056203127,0.44950595,0.7975464,0.005456099
78,0.50968826,0.42479917,0.008299915,0.5231557,0.6134648,0.002117476,0.60524297,0.51945645,0.041882288,0.46545932,0.6863865,0.014061895,0.5886547,0.4817473,0.016266163,0.5321495,0.50028086,0.012600222,0.5978669,0.519784,0.056384403,0.4495123,0.797533,0.005447722
79,0.5097763,0.42475212,0.008299353,0.52326304,0.6135206,0.0021171917,0.6052869,0.5195043,0.041896537,0.46549714,0.6863677,0.014101482,0.6029273,0.4823336,0.015514497,0.5322192,0.5003615,0.012523231,0.5979545,0.51980436,0.05645548,0.44954172,0.79751456,0.0054429523
80,0.5098344,0.42475018,0.008341854,0.5234734,0.61374545,0.0021148387,0.6053981,0.51943696,0.041590847,0.46556216,0.6863854,0.014134535,0.60298246,0.48225415,0.015469471,0.53220737,0.5004648,0.012430533,0.5980123,0.5196364,0.05608323,0.44957936,0.7975193,0.0054656
81,0.5098396,0.42476422,0.008334702,0.52349716,0.6137467,0.0021143751,0.6053979,0.5194388,0.041568715,0.46556208,0.68638664,0.014135153,0.60298836,0.48225,0.015454575,0.53221947,0.500474,0.012415071,0.5980063,0.5196342,0.056036565,0.44957513,0.7975299,0.005466202
82,0.5099909,0.42476705,0.008381764,0.52364105,0.6138346,0.0021032959,0.60547817,0.51940274,0.041383576,0.46557283,0.68636453,0.014128382,0.6030383,0.48212925,0.015467859,0.53226924,0.50056165,0.0123379715,0.59807646,0.51949334,0.055847112,0.44963017,0.7975046,0.0054629827
83,0.5099667,0.424777,0.008378809,0.52336115,0.6137311,0.0020864587,0.605507,0.51932913,0.0411833,0.46554294,0.68639266,0.014086429,0.6027611,0.4819987,0.01558876,0.53213006,0.50051,0.012356526,0.5979417,0.51941913,0.055334773,0.44965413,0.7975272,0.005513882
84,0.5099886,0.4247684,0.008352559,0.52328527,0.6134994,0.0020784389,0.6054365,0.51926124,0.041256186,0.46570933,0.6865657,0.014166798,0.602515,0.4819481,0.015787397,0.53208184,0.5004565,0.012353041,0.5976543,0.51942396,0.055283688,0.44987437,0.7978219,0.0055352305
85,0.51012206,0.42476964,0.008405268,0.523307,0.6132058,0.0021205735,0.60529405,0.5192884,0.041443624,0.46575966,0.68665004,0.014511937,0.6023913,0.48174447,0.015802905,0.532069,0.5004721,0.0124257505,0.59747565,0.5195236,0.055345695,0.4500861,0.7982434,0.005527474
86,0.5104447,0.4248249,0.00847574,0.52370125,0.61303854,0.0021567517,0.6053676,0.5194468,0.042535737,0.46544373,0.68660146,0.0145901665,0.6020822,0.4697299,0.013417658,0.5322901,0.5006814,0.012389973,0.5977082,0.5197356,0.056476906,0.4503915,0.79843247,0.0053671487
87,0.51041734,0.4248315,0.008474606,0.5237015,0.61304545,0.0021575142,0.60536546,0.5194337,0.04249118,0.4654422,0.6865918,0.014585971,0.6020685,0.46972144,0.013407417,0.53227955,0.50068015,0.012389185,0.5976901,0.519722,0.05640549,0.4503857,0.7984351,0.005367617
