frame,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_hip_x,right_hip_y,right_hip_conf,right_knee_x,right_knee_y,right_knee_conf,right_ankle_x,right_ankle_y,right_ankle_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,left_hip_x,left_hip_y,left_hip_conf,left_knee_x,left_knee_y,left_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf
63,0.5246965,0.36561102,0.0029542996,0.5655961,0.5981783,0.0018751018,0.6056787,0.53201914,0.032570448,0.43348902,0.7262119,0.013588079,0.5877687,0.46075112,0.008975642,0.7088979,0.58738035,0.01561418,0.5965073,0.52125716,0.03767054,0.42832366,0.83714265,0.00602272
64,0.52529955,0.3649129,0.0028386782,0.5668388,0.5983856,0.0019264092,0.6066384,0.5319853,0.03221747,0.4336585,0.7262192,0.013107705,0.5878623,0.46009403,0.008705448,0.7092298,0.58707356,0.015805308,0.60884,0.519602,0.038496513,0.42876276,0.8369295,0.0061462517
65,0.5256828,0.3650964,0.0028064745,0.56888014,0.598508,0.0020665438,0.60760355,0.5323842,0.032750685,0.43392292,0.7253743,0.012469213,0.58865976,0.4596703,0.0084065115,0.7096681,0.5854964,0.015228399,0.59853756,0.5211902,0.03735151,0.41091964,0.83823234,0.0047496427
66,0.5255157,0.3652829,0.0029589143,0.5689949,0.5993284,0.0019616785,0.6084322,0.5322674,0.03289094,0.43403557,0.72545636,0.0125087695,0.5891209,0.46081394,0.008121063,0.7092573,0.5860356,0.015557862,0.6107039,0.5198266,0.0396378,0.4110957,0.8380698,0.004888887
67,0.52570456,0.38195294,0.003720913,0.56790805,0.5992753,0.001804706,0.60822767,0.5317426,0.031041784,0.43451837,0.7257824,0.012634528,0.58879775,0.46154064,0.007932784,0.70942384,0.586575,0.0149461655,0.61103165,0.5100744,0.040507045,0.42875525,0.83598596,0.006237814
68,0.5255752,0.38202,0.0039136377,0.567609,0.5993413,0.001746657,0.6073279,0.5312968,0.029776292,0.43490598,0.72589564,0.012363442,0.5880596,0.4616491,0.008142193,0.7093598,0.5872649,0.014223809,0.5993529,0.51129925,0.038141083,0.42791408,0.8184807,0.0067134392
69,0.525584,0.38200483,0.003911404,0.56761956,0.59935445,0.0017532795,0.6073522,0.5313316,0.029834133,0.4348893,0.72588867,0.012355229,0.5880528,0.46165094,0.008154886,0.7093308,0.5871913,0.01426433,0.59941334,0.5113248,0.038192846,0.427897,0.81847245,0.0067214984
70,0.52513814,0.38227195,0.003672748,0.5677257,0.5993324,0.0017184796,0.607391,0.5308341,0.028343474,0.43404058,0.7263217,0.011395681,0.5719765,0.46107805,0.008613348,0.71043473,0.5861885,0.013486311,0.5997775,0.51053816,0.03844204,0.41007054,0.8197351,0.005713295
71,0.52493006,0.3822738,0.0037904296,0.56760395,0.59917873,0.001686643,0.6073214,0.5307284,0.02855148,0.4347571,0.7438064,0.010513083,0.5729277,0.4609258,0.008556663,0.7116256,0.57397646,0.014282423,0.59940743,0.5103754,0.038170073,0.41039082,0.8202268,0.0054953243
72,0.52520734,0.38196963,0.0037488847,0.56787133,0.5991996,0.0016727311,0.6067456,0.5309132,0.029194377,0.434563,0.74394006,0.01042485,0.5732105,0.46109453,0.008352334,0.71096015,0.5751573,0.013944008,0.5985595,0.51064044,0.03817579,0.41046563,0.8204835,0.0054540657
73,0.5250922,0.38184708,0.0037330678,0.5678493,0.59908134,0.001655471,0.60646325,0.53065383,0.029338963,0.43476185,0.7439516,0.010319043,0.57326627,0.46115106,0.008302705,0.71097255,0.57560796,0.013802022,0.5982522,0.51078135,0.038149912,0.41054308,0.82041436,0.0054075923
74,0.52486193,0.38186625,0.003653436,0.56772864,0.5988334,0.0016500218,0.6063897,0.5306925,0.029317204,0.434789,0.7440725,0.010242553,0.57289696,0.47529203,0.009117013,0.7108363,0.5750691,0.01395613,0.5983368,0.5109218,0.038014278,0.4106549,0.82049227,0.0053838426
75,0.5248825,0.38186172,0.0036422142,0.567699,0.5987984,0.0016513475,0.6064034,0.53068954,0.029315827,0.43479288,0.7440703,0.010250558,0.57288206,0.475278,0.009118753,0.71077055,0.57498866,0.014004291,0.5983427,0.5109104,0.038014747,0.41064802,0.8204925,0.005386241
76,0.5245975,0.38194212,0.003624297,0.56747794,0.5987359,0.0016647759,0.6064719,0.5306463,0.029323757,0.43484423,0.74410295,0.010298305,0.5728188,0.47527558,0.009135349,0.7104487,0.5745336,0.014372734,0.5984894,0.5108479,0.03800803,0.4107629,0.82049406,0.0053835823
77,0.5242803,0.38197348,0.0035853279,0.5673844,0.59871656,0.0016646856,0.6064315,0.5306192,0.029065596,0.4349354,0.7440682,0.0103195505,0.555099,0.47508422,0.0095000155,0.7102897,0.5743396,0.014409216,0.59849286,0.5108834,0.037444808,0.41089416,0.8205051,0.005338735
78,0.5241631,0.38191304,0.0035749904,0.56746316,0.59873617,0.0016690308,0.6063562,0.5307174,0.028903212,0.43381906,0.72662956,0.011268065,0.45308435,0.50383085,0.014240186,0.7102214,0.57435143,0.014361767,0.59844124,0.51099956,0.03682644,0.41105294,0.8204995,0.00534693
79,0.52408385,0.38186067,0.0035745692,0.5676701,0.5989455,0.0016717939,0.60610825,0.53095645,0.028881632,0.43383312,0.7268103,0.011222455,0.45328552,0.50393194,0.014272553,0.7102737,0.5742325,0.01440914,0.59829986,0.51117146,0.036501132,0.41125983,0.8205223,0.005360184
80,0.52466196,0.3818485,0.003577519,0.5688615,0.6007236,0.0017166283,0.60580945,0.5318026,0.03036056,0.4328233,0.7271106,0.010955913,0.57249624,0.47559416,0.009260678,0.7102542,0.5763291,0.015010256,0.5977342,0.51122606,0.03855049,0.41131905,0.8395697,0.0049202717
81,0.52462655,0.38186404,0.0035802466,0.5688847,0.600726,0.0017144944,0.6058315,0.5317973,0.030312536,0.43284234,0.72711307,0.01095646,0.5724738,0.47559613,0.009258967,0.71028185,0.57633406,0.014968543,0.59773785,0.5112099,0.038482353,0.41133302,0.8395663,0.0049209227
82,0.5248364,0.3818511,0.0034881812,0.56913173,0.60037875,0.0017405121,0.6063239,0.5320203,0.030313654,0.43267104,0.7270635,0.011254246,0.60338193,0.48895058,0.009898746,0.71078956,0.575363,0.015326391,0.5982425,0.5111881,0.0389265,0.4109744,0.82092446,0.005564207
83,0.52486646,0.3815462,0.0034201313,0.56851685,0.59958786,0.0018293113,0.60656387,0.53214294,0.029680446,0.42260894,0.7432394,0.011151237,0.57192844,0.46146134,0.008675936,0.70827127,0.5867091,0.015605344,0.5986718,0.51108634,0.038827404,0.41100734,0.82091975,0.005695143
84,0.5243875,0.38156274,0.0034922925,0.5668649,0.5987325,0.0018871578,0.5953369,0.5325836,0.02878988,0.42348868,0.7424386,0.01164773,0.5705518,0.46166468,0.008791964,0.70767766,0.5868671,0.015854303,0.5968163,0.52086884,0.035762068,0.4285741,0.83697575,0.0065396545
85,0.5253385,0.38160607,0.0035217076,0.5660988,0.598108,0.001884477,0.595754,0.53245676,0.028754527,0.43330845,0.72602093,0.012400866,0.57069707,0.4610753,0.00842388,0.7082608,0.5722641,0.016473312,0.5971386,0.5211003,0.035301886,0.4423132,0.8353877,0.008169579
86,0.5253641,0.38188273,0.0035623598,0.5672633,0.59836644,0.001957685,0.6069241,0.5328853,0.029567804,0.4328595,0.72547036,0.012645739,0.58699083,0.4612552,0.008390742,0.7069727,0.5857073,0.016670354,0.597467,0.5219538,0.035664126,0.42690825,0.83738065,0.0061660376
87,0.5253532,0.38187933,0.003558344,0.567262,0.5983614,0.0019578126,0.60692865,0.5328867,0.029566258,0.4328585,0.72546774,0.012649956,0.58698016,0.4612567,0.0083893845,0.70694315,0.5857054,0.016671924,0.5974652,0.52195776,0.03566922,0.426899,0.8373838,0.0061633904
